Date : 2022-07-14 21:57:11
Directory : /home/amitjosemundackal-vonnue/codes/vonnue.edu
Total : 108 files,  16188 codes, 686 comments, 1748 blanks, all 18622 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid6.html                          | HTML       |         77 |          0 |          1 |         78 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/animate.css                   | CSS        |      2,655 |         10 |        494 |      3,159 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/bootstrap.min.css             | CSS        |          1 |          5 |          0 |          6 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/font-awesome.min.css          | CSS        |          1 |          3 |          1 |          5 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/magnific-popup.css            | CSS        |        310 |          6 |         36 |        352 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/owl.carousel.css              | CSS        |        132 |         23 |         16 |        171 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/owl.theme.default.min.css     | CSS        |          1 |          5 |          0 |          6 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/templatemo-style.css          | CSS        |        753 |         49 |        206 |      1,008 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/fonts/fontawesome-webfont.svg     | XML        |      2,671 |          0 |          1 |      2,672 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/index.html                        | HTML       |        423 |         35 |         83 |        541 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/bootstrap.min.js               | JavaScript |          2 |          5 |          0 |          7 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/custom.js                      | JavaScript |         53 |         45 |         20 |        118 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/jquery.js                      | JavaScript |          3 |          1 |          0 |          4 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/jquery.magnific-popup.min.js   | JavaScript |          1 |          3 |          0 |          4 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/jquery.stellar.min.js          | JavaScript |          1 |          1 |          0 |          2 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/owl.carousel.min.js            | JavaScript |          2 |          5 |          0 |          7 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/smoothscroll.js                | JavaScript |          6 |         24 |          4 |         34 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/wow.min.js                     | JavaScript |          1 |          1 |          0 |          2 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/comet_1.svg         | XML        |         52 |          0 |          1 |         53 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/comet_2.svg         | XML        |         45 |          0 |          1 |         46 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/comet_3.svg         | XML        |         36 |          0 |          1 |         37 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/comet_4.svg         | XML        |         44 |          0 |          1 |         45 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/icon_fb.svg         | XML        |          3 |          0 |          1 |          4 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/icon_tw.svg         | XML        |          3 |          0 |          1 |          4 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/respo mob 1.css            | CSS        |        303 |         38 |         57 |        398 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/respo mob 1.html           | HTML       |         87 |          0 |          4 |         91 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/restaurant website/images/nav.svg        | XML        |         19 |          0 |          4 |         23 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/restaurant website/nav.js                | JavaScript |          5 |          0 |          0 |          5 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/restaurant website/resto_responsive.css  | CSS        |        224 |          3 |         40 |        267 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/restaurant website/resto_responsive.html | HTML       |        132 |         35 |         14 |        181 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/variable/cssvar.css                      | CSS        |         78 |          0 |         13 |         91 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/variable/cssvar.html                     | HTML       |         70 |          0 |          0 |         70 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/variable/swatches.js                     | JavaScript |          8 |          0 |          1 |          9 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/comet_1.svg                              | XML        |         52 |          0 |          1 |         53 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/comet_2.svg                              | XML        |         45 |          0 |          1 |         46 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/comet_3.svg                              | XML        |         36 |          0 |          1 |         37 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/comet_4.svg                              | XML        |         44 |          0 |          1 |         45 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/icon_fb.svg                              | XML        |          3 |          0 |          1 |          4 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/icon_tw.svg                              | XML        |          3 |          0 |          1 |          4 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/respo mob 1.css                                 | CSS        |        303 |         38 |         57 |        398 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/respo mob 1.html                                | HTML       |         87 |          0 |          4 |         91 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/azure.css                                            | CSS        |      1,178 |          0 |         11 |      1,189 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/arrow.svg                                     | XML        |          1 |          0 |          0 |          1 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/azure-arc.svg                                 | XML        |         32 |          0 |          1 |         33 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/azure-devops.svg                              | XML        |          1 |          0 |          0 |          1 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/azure-sql-database.svg                        | XML        |          1 |          0 |          1 |          2 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/book-alt.svg                                  | XML        |          4 |          0 |          1 |          5 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/bosch-logo.svg                                | XML        |          9 |          0 |          1 |         10 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/container-apps.svg                            | XML        |         22 |          0 |          1 |         23 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/ge-logo.svg                                   | XML        |         11 |          0 |          1 |         12 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/github-icon.svg                               | XML        |          3 |          0 |          1 |          4 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/icon-chat.svg                                 | XML        |          1 |          0 |          0 |          1 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/kubernetes-service.svg                        | XML        |         46 |          0 |          2 |         48 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/nba-logo.svg                                  | XML        |          8 |          0 |          1 |          9 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/pepsico-logo.svg                              | XML        |         14 |          0 |          1 |         15 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/pricing06.svg                                 | XML        |          7 |          0 |          1 |          8 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/index.html                                           | HTML       |        558 |          0 |         15 |        573 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/doordash.css                                      | CSS        |        601 |          2 |         43 |        646 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/img/ScootScoot.svg                                | XML        |         56 |          0 |          1 |         57 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/img/Storefront.svg                                | XML        |         17 |          0 |          1 |         18 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/img/iphone.svg                                    | XML        |         42 |          0 |          1 |         43 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/index.html                                        | HTML       |        222 |          0 |          8 |        230 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/index.html                                     | HTML       |         24 |          0 |          2 |         26 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/test.js                                        | JavaScript |          0 |        272 |        216 |        488 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/weather/index.html                                         | HTML       |      1,347 |          0 |         43 |      1,390 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/weather/weather.css                                        | CSS        |      1,373 |          3 |         27 |      1,403 |
| /home/amitjosemundackal-vonnue/codes/vonnue.edu/weather/weather.js                                         | JavaScript |         36 |          0 |         19 |         55 |
| Total                                                                                                      |            |     16,188 |        686 |      1,748 |     18,622 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
