"filename", "language", "CSS", "HTML", "XML", "JavaScript", "Markdown", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/fonts/fontawesome-webfont.svg", "XML", 0, 0, 2671, 0, 0, 0, 1, 2672
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/index.html", "HTML", 0, 423, 0, 0, 0, 35, 83, 541
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/bootstrap.min.js", "JavaScript", 0, 0, 0, 2, 0, 5, 0, 7
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/custom.js", "JavaScript", 0, 0, 0, 53, 0, 45, 20, 118
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/jquery.js", "JavaScript", 0, 0, 0, 3, 0, 1, 0, 4
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/jquery.magnific-popup.min.js", "JavaScript", 0, 0, 0, 1, 0, 3, 0, 4
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/jquery.stellar.min.js", "JavaScript", 0, 0, 0, 1, 0, 1, 0, 2
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/owl.carousel.min.js", "JavaScript", 0, 0, 0, 2, 0, 5, 0, 7
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/smoothscroll.js", "JavaScript", 0, 0, 0, 6, 0, 24, 4, 34
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/js/wow.min.js", "JavaScript", 0, 0, 0, 1, 0, 1, 0, 2
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/comet_1.svg", "XML", 0, 0, 52, 0, 0, 0, 1, 53
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/comet_2.svg", "XML", 0, 0, 45, 0, 0, 0, 1, 46
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/comet_3.svg", "XML", 0, 0, 36, 0, 0, 0, 1, 37
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/comet_4.svg", "XML", 0, 0, 44, 0, 0, 0, 1, 45
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/icon_fb.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/assets/icon_tw.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/respo mob 1.css", "CSS", 303, 0, 0, 0, 0, 38, 57, 398
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/respo mob 1st/respo mob 1.html", "HTML", 0, 87, 0, 0, 0, 0, 4, 91
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/restaurant website/images/nav.svg", "XML", 0, 0, 19, 0, 0, 0, 4, 23
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/restaurant website/nav.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 5
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/restaurant website/resto_responsive.css", "CSS", 224, 0, 0, 0, 0, 3, 40, 267
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/restaurant website/resto_responsive.html", "HTML", 0, 132, 0, 0, 0, 35, 14, 181
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/variable/cssvar.css", "CSS", 78, 0, 0, 0, 0, 0, 13, 91
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/variable/cssvar.html", "HTML", 0, 70, 0, 0, 0, 0, 0, 70
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/variable/swatches.js", "JavaScript", 0, 0, 0, 8, 0, 0, 1, 9
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/comet_1.svg", "XML", 0, 0, 52, 0, 0, 0, 1, 53
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/comet_2.svg", "XML", 0, 0, 45, 0, 0, 0, 1, 46
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/comet_3.svg", "XML", 0, 0, 36, 0, 0, 0, 1, 37
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/comet_4.svg", "XML", 0, 0, 44, 0, 0, 0, 1, 45
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/icon_fb.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/assets/icon_tw.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/respo mob 1.css", "CSS", 303, 0, 0, 0, 0, 38, 57, 398
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/astronomia/respo mob 1.html", "HTML", 0, 87, 0, 0, 0, 0, 4, 91
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/azure.css", "CSS", 1178, 0, 0, 0, 0, 0, 11, 1189
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/arrow.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/azure-arc.svg", "XML", 0, 0, 32, 0, 0, 0, 1, 33
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/azure-devops.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/azure-sql-database.svg", "XML", 0, 0, 1, 0, 0, 0, 1, 2
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/book-alt.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/bosch-logo.svg", "XML", 0, 0, 9, 0, 0, 0, 1, 10
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/container-apps.svg", "XML", 0, 0, 22, 0, 0, 0, 1, 23
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/ge-logo.svg", "XML", 0, 0, 11, 0, 0, 0, 1, 12
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/github-icon.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/icon-chat.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/kubernetes-service.svg", "XML", 0, 0, 46, 0, 0, 0, 2, 48
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/nba-logo.svg", "XML", 0, 0, 8, 0, 0, 0, 1, 9
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/pepsico-logo.svg", "XML", 0, 0, 14, 0, 0, 0, 1, 15
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/images/pricing06.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/azure/index.html", "HTML", 0, 558, 0, 0, 0, 0, 15, 573
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/doordash.css", "CSS", 601, 0, 0, 0, 0, 2, 43, 646
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/img/ScootScoot.svg", "XML", 0, 0, 56, 0, 0, 0, 1, 57
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/img/Storefront.svg", "XML", 0, 0, 17, 0, 0, 0, 1, 18
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/img/iphone.svg", "XML", 0, 0, 42, 0, 0, 0, 1, 43
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/doordash/index.html", "HTML", 0, 222, 0, 0, 0, 0, 8, 230
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/index.html", "HTML", 0, 24, 0, 0, 0, 0, 2, 26
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/js tutorial/test.js", "JavaScript", 0, 0, 0, 0, 0, 272, 216, 488
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/weather/index.html", "HTML", 0, 1347, 0, 0, 0, 0, 43, 1390
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/weather/weather.css", "CSS", 1373, 0, 0, 0, 0, 3, 27, 1403
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/weather/weather.js", "JavaScript", 0, 0, 0, 36, 0, 0, 19, 55
"Total", "-", 8719, 4018, 3331, 118, 2, 686, 1748, 18622
